actor_tanh_saturation_fraction,diagnostic_action_clip_fraction,finite_input,physical_action_q01,physical_action_q50,physical_action_q99,physical_clipped_action_mean,profile,raw_action_q01,raw_action_q50,raw_action_q99,raw_deterministic_action_mean,scaled_abs_mean_concentration,scaled_abs_mean_cumulative,scaled_abs_mean_recent,scaled_abs_mean_s0,scope,seed,state,step
0.0,0.004224537037037037,True,0.133504256606102,1.254762053489685,1.9163635969161987,1.2212368249893188,P0,0.133504256606102,1.254762053489685,1.9163635969161987,1.2208484411239624,0.0,0.5596694350242615,0.0,0.4558570384979248,final_development,51,S_CUM,524288
0.0,0.0013310185185185185,True,0.2969841957092285,1.2522679567337036,1.9252142906188965,1.2354921102523804,P1,0.2969841957092285,1.2522679567337036,1.9252142906188965,1.23536217212677,0.0,0.5620124340057373,0.0,0.41005295515060425,final_development,51,S_CUM,524288
1.3563368055555555e-05,0.028703703703703703,True,0.0,1.1723721027374268,2.725494384765625,1.1826967000961304,P0,-0.5271711945533752,1.1723721027374268,2.725494384765625,1.170680284500122,0.5336756110191345,0.0,0.0,0.4539593756198883,final_development,51,S_CONC,524288
0.0,0.03142361111111111,True,0.0,1.1909637451171875,2.848858594894409,1.191839575767517,P1,-0.7428226470947266,1.1909637451171875,2.848858594894409,1.1733211278915405,0.5360721349716187,0.0,0.0,0.4082701504230499,final_development,51,S_CONC,524288
0.0,0.01724537037037037,True,0.0,1.0965313911437988,1.7444771528244019,1.0688426494598389,P0,-0.23089194297790527,1.0965313911437988,1.7444771528244019,1.0635056495666504,0.49922147393226624,0.5187956690788269,0.0,0.4424878656864166,final_development,51,S_CORE,524288
0.0,0.03605324074074074,True,0.0,1.1843763589859009,3.6099441051483154,1.213780164718628,P1,-1.2700443267822266,1.1843763589859009,3.6099441051483154,1.1824756860733032,0.5433303117752075,0.569892168045044,0.0,0.41015625,final_development,51,S_CORE,524288
5.4253472222222224e-06,0.030729166666666665,True,0.0,1.2014338970184326,2.9743125438690186,1.1964361667633057,P0,-1.1665793657302856,1.2014338970184326,2.9743125438690186,1.169442892074585,0.537932813167572,0.5619643926620483,0.4723565876483917,0.4543730318546295,final_development,51,S1,524288
0.0,0.03234953703703704,True,0.0,1.176581621170044,2.7695631980895996,1.176559329032898,P1,-1.2859357595443726,1.176581621170044,2.7695631980895996,1.1455717086791992,0.5332315564155579,0.5592798590660095,0.46678486466407776,0.4070400595664978,final_development,51,S1,524288
0.0,0.00474537037037037,True,0.12496813386678696,1.200859785079956,1.8846921920776367,1.2443124055862427,P0,0.12496813386678696,1.200859785079956,1.8846921920776367,1.2437137365341187,0.0,0.0,0.0,0.45912739634513855,final_development,52,S0,524288
0.0,0.0005208333333333333,True,0.46539217233657837,1.3157525062561035,1.7647974491119385,1.2645916938781738,P1,0.46539217233657837,1.3157525062561035,1.7647974491119385,1.2645633220672607,0.0,0.0,0.0,0.41396796703338623,final_development,52,S0,524288
0.0,0.023148148148148147,True,0.0,1.2624186277389526,2.058483362197876,1.223093867301941,P0,-0.5197685956954956,1.2624186277389526,2.058483362197876,1.2117518186569214,0.0,0.5608535408973694,0.0,0.4553736448287964,final_development,52,S_CUM,524288
